date,y_1d,pct 1d change QQQ,pct 1d change TSLA,y_5d,pct 5d change QQQ,pct 5d change TSLA,Predicted RF 1d all,Predicted RF 1d present,Predicted RF 5d present,Signal Predicted RF 1d present,Signal Predicted RF 5d present,Friday Buys
1/3/17,0.006496288,0.008946641,0.015442928,0.022599827,-0.005490997,0.01710883,0.004538158,0.006514762,0.018068865,1,1,0
1/4/17,0.04064753,0.005437544,0.046085074,0.03919607,-0.005214368,0.033981703,0.007295562,-0.007232813,0.01565973,0,1,0
1/5/17,-0.006715149,0.005657826,-0.001057323,0.023642975,0.008258284,0.03190126,0.000722188,0.002099353,0.003965768,1,1,0
1/6/17,0.001197182,0.008769735,0.009966917,0.04820556,0.018544888,0.066750449,0.000722188,0.002099353,0.003965768,1,1,0
1/9/17,0.006631876,0.003280407,0.009912283,0.049820655,0.032494887,0.082315542,-0.003405547,0.001059952,0.000473003,1,0,1
1/10/17,-0.00830372,0.002207181,-0.006096539,0.033759448,0.025598133,0.059357581,0.005272059,0.011932761,0.018967863,1,1,0
1/11/17,-0.003300726,0.002691689,-0.000609037,-0.010726195,0.022797219,0.012071024,0.000722188,0.002099353,0.003965768,1,1,0
1/12/17,0.000936217,-0.001545625,-0.000609408,-0.002946174,0.015470999,0.012524825,0.002022489,0.002099353,0.003965768,1,1,0
1/13/17,0.032119751,0.003421867,0.035541618,0.028076693,0.010087605,0.038164298,0.020913496,0.023133154,0.019374398,1,1,1
1/17/17,-0.006123025,-0.00300417,-0.009127195,0.014831808,0.003760388,0.018592196,-0.001533453,-0.000470521,0.02126808,0,1,0
1/18/17,0.009764529,0.002036127,0.011800657,0.033344892,0.003589069,0.03693396,0.007374009,0.002099353,0.003965768,1,1,0
1/19/17,0.02314264,-0.000487875,0.022654766,0.060665029,0.000406659,0.061071689,0.012565323,0.015504732,0.038040508,1,1,0
1/20/17,0.001783878,0.002195451,0.003979329,0.061788586,0.004155051,0.065943637,0.003388467,0.001189314,0.044670034,1,1,1
1/23/17,0.016309408,0.000811526,0.017120935,0.045439346,0.001542803,0.046982149,0.000722188,0.01619113,0.027531922,1,1,0
1/24/17,0.016129925,0.006728834,0.022858759,0.06945915,0.011320196,0.080779346,0.012978194,0.00928198,0.048759381,1,1,0
1/25/17,-0.010615778,0.010065919,-0.000549858,0.048162459,0.019424386,0.067586845,-0.00800131,-0.004618742,0.04026395,0,1,0
1/26/17,-0.008738753,0.001036429,-0.007702324,0.014916908,0.020979056,0.035895964,0.008597215,0.009285338,0.046024766,1,1,0
1/27/17,-0.000169113,0.001911643,0.00174253,0.012898129,0.020689928,0.033588057,0.000722188,0.002099353,0.003965768,1,1,1
1/30/17,-0.001381479,-0.007790308,-0.009171787,-0.005047584,0.011917242,0.006869658,0.001528529,-0.005009683,-3.96E-05,0,0,0
1/31/17,0.007189922,-0.00200295,0.005186972,-0.013666345,0.003140457,-0.010525888,0.006762126,0.005595873,-0.008750168,1,0,0
2/1/17,-0.01758139,0.006903782,-0.010677609,-0.020552549,0,-0.020552549,-0.013023175,-0.015330459,-0.012796699,0,0,0
2/2/17,0.010145156,-0.000876944,0.009268211,-0.001890389,-0.001911392,-0.003801781,0.000722188,0.002099353,0.003965768,1,1,0
2/3/17,-0.003747363,0.002872735,-0.000874628,-0.005450487,-0.000953966,-0.006404454,-0.000329793,-0.001998099,0.008341386,0,1,1
2/6/17,0.024430189,0.001193534,0.025623723,0.020396464,0.008091774,0.028488238,0.014685059,0.020227951,0.016390148,1,1,0
2/7/17,-0.00478081,0.003655728,-0.001125082,0.008222175,0.013807689,0.022029865,-0.002895667,-0.003868639,0.006387703,0,1,0
2/8/17,0.01620279,0.001662714,0.017865504,0.04298594,0.008530687,0.051516627,0.01024811,0.002099353,0.003965768,1,1,0
2/9/17,0.023530782,0.003636491,0.027167273,0.057078332,0.013086619,0.070164951,0.015505131,0.009388536,0.013573477,1,1,0
2/10/17,-0.003196553,0.003308004,0.000111451,0.057694821,0.013526321,0.071221142,0.012450524,-0.001011549,0.006152001,0,1,1
2/13/17,0.036579085,0.005652431,0.042231516,0.070527146,0.018040143,0.088567289,0.025429865,0.030809681,0.063049568,1,1,0
2/14/17,-0.002002554,0.003356799,0.001354245,0.073532313,0.017736929,0.091269242,-0.002353472,0.002726158,0.058492051,1,1,0
2/15/17,-0.010254946,0.005913009,-0.004341937,0.045404873,0.022055431,0.067460304,0.000722188,-0.001011549,0.006152001,0,1,0
2/16/17,-0.038330856,-0.000309385,-0.038640241,-0.018965803,0.01803714,-0.000928663,-0.002822685,0.007305919,0.039560554,1,1,0
2/17/17,0.007862997,0.004332546,0.012195542,-0.007933862,0.019076723,0.011142861,0.008503841,0.005425787,-0.004106946,1,0,1
2/21/17,0.014024199,0.004930389,0.018954588,-0.029784784,0.018345042,-0.011439742,0.009353432,0.010864032,-0.017733672,1,0,0
2/22/17,-0.014370821,0.000383277,-0.013987544,-0.041912615,0.015327102,-0.026585513,-0.007162325,0.002099353,0.003965768,1,1,0
2/23/17,-0.06030125,-0.003754869,-0.064056119,-0.090534391,0.005568744,-0.084965646,-0.006857724,-0.039496395,-0.047843414,0,0,0
2/24/17,0.002022468,0.001922992,0.00394546,-0.052246286,0.007814248,-0.044432038,0.005787384,0.00326714,-0.006585745,1,0,1
2/27/17,-0.043134999,0.001228324,-0.041906675,-0.100206756,0.004699265,-0.095507491,-0.020930105,-0.028018341,-0.052316748,0,0,0
