,Compound,Positive,Negative,Neutral
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,1.0
2,0.4404,0.744,0.0,0.256
3,0.7317,0.162,0.0,0.838
4,0.5859,0.559,0.0,0.441
5,0.3802,0.245,0.0,0.755
6,0.4767,0.756,0.0,0.244
7,0.5859,0.255,0.0,0.745
8,0.0,0.0,0.0,1.0
9,0.4215,0.737,0.0,0.263
10,0.501,0.213,0.0,0.787
11,0.2023,0.322,0.282,0.396
12,0.0,0.0,0.0,1.0
13,0.7177,0.316,0.0,0.684
14,-0.3595,0.0,0.263,0.737
15,0.6239,0.405,0.0,0.595
16,0.6486,0.841,0.0,0.159
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,1.0
19,0.3182,1.0,0.0,0.0
20,-0.5574,0.0,0.122,0.878
21,0.3612,0.714,0.0,0.286
22,0.3612,0.714,0.0,0.286
23,-0.4939,0.0,0.242,0.758
24,0.7184,0.375,0.0,0.625
25,0.0,0.0,0.0,1.0
26,-0.6705,0.0,0.474,0.526
27,0.0,0.0,0.0,1.0
28,0.3595,0.217,0.0,0.783
29,0.3291,0.307,0.195,0.498
30,0.0,0.0,0.0,1.0
31,0.5499,0.262,0.0,0.738
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,1.0
35,0.0,0.0,0.0,1.0
36,0.2023,0.31,0.0,0.69
37,0.0,0.0,0.0,1.0
38,0.0,0.0,0.0,1.0
39,0.4404,0.209,0.0,0.791
40,0.0,0.0,0.0,1.0
41,0.0,0.0,0.0,1.0
42,0.6249,0.227,0.0,0.773
43,0.6597,0.248,0.097,0.655
44,0.0,0.0,0.0,1.0
45,-0.3612,0.054,0.119,0.827
46,0.0,0.0,0.0,1.0
47,0.0,0.0,0.0,1.0
48,0.0,0.0,0.0,1.0
49,0.0,0.0,0.0,1.0
50,0.0,0.0,0.0,0.0
51,0.4215,0.737,0.0,0.263
52,0.2144,0.316,0.0,0.684
53,0.5423,0.6,0.0,0.4
54,0.7845,0.317,0.0,0.683
55,0.7184,0.25,0.0,0.75
56,0.9042,0.271,0.037,0.692
57,0.0,0.0,0.0,1.0
58,0.0,0.0,0.0,1.0
59,0.296,0.071,0.0,0.929
60,0.8221,0.896,0.0,0.104
61,0.0,0.0,0.0,1.0
62,0.6369,0.375,0.0,0.625
63,-0.1531,0.0,0.286,0.714
64,0.7351,0.151,0.037,0.811
65,-0.5106,0.0,0.623,0.377
66,0.0,0.0,0.0,1.0
67,0.0,0.0,0.0,1.0
68,0.0,0.0,0.0,1.0
69,0.7906,0.304,0.075,0.621
70,0.0,0.0,0.0,1.0
71,0.0,0.0,0.0,1.0
72,0.391,0.134,0.068,0.799
73,0.2732,0.168,0.094,0.738
74,0.2023,0.375,0.0,0.625
75,0.4215,1.0,0.0,0.0
76,-0.0294,0.127,0.175,0.698
77,0.4003,0.252,0.0,0.748
78,0.0,0.0,0.0,0.0
79,0.2732,0.412,0.0,0.588
80,-0.2023,0.0,0.643,0.357
81,0.0,0.0,0.0,1.0
82,0.0,0.0,0.0,1.0
83,0.0,0.0,0.0,1.0
84,0.4019,0.231,0.0,0.769
85,0.0,0.0,0.0,1.0
86,0.4927,0.313,0.0,0.687
87,-0.1779,0.295,0.417,0.288
88,0.0,0.0,0.0,1.0
89,0.4728,0.17,0.0,0.83
90,0.0,0.0,0.0,1.0
91,-0.1531,0.0,0.286,0.714
92,0.4019,1.0,0.0,0.0
93,0.0,0.0,0.0,0.0
94,-0.0258,0.165,0.129,0.706
95,0.7836,0.255,0.0,0.745
96,-0.296,0.0,0.145,0.855
97,0.7964,0.26,0.0,0.74
98,0.9052,0.294,0.0,0.706
99,-0.3612,0.0,0.556,0.444
100,0.6249,0.506,0.0,0.494
101,0.6369,0.677,0.0,0.323
